Crop,Water Use (m³/kg),Irrigation Type,Climate,Yield (tons/ha),Water-Saving Practices,Water Pollution (Grey Water) (m³/kg),Soil Type,Water Scarcity,Post-Harvest Processing (Liters/kg),Fertilizer Use (kg/ha),Pesticide Use (kg/ha),Organic Practices,Green Water Use (m³/kg),Blue Water Use (m³/kg),Crop Cycle Duration (days),Harvest Season,Temperature Requirement (°C),Rainfall Requirement (mm/year),CO2 Emission (kg/ha),Land Use (ha/kg),Crop Rotation Practices,Average Farm Size (ha),Processing Water Recycling,Local Market,Export Market,Genetically Modified,Irrigation Efficiency (%),Seed Use (kg/ha),Labor Intensity
Bananas,5557,Drip,Arid,5.14,Efficient Irrigation,716,Loamy,Severe,75,152,23,No,625,7869,350,Spring,36,1230,7.406565699800939,2.5062898242965113,No,19.669289142882942,Yes,No,No,No,76,75,Medium
Pumpkins,8024,Flood,Arid,4.44,Mulching,969,Clayey,Severe,142,97,56,No,4825,13018,134,Spring,28,779,3.7620966754087313,4.047654612198065,Yes,17.23327610591168,Yes,Yes,No,Yes,94,72,Medium
Grapes,1540,None,Continental,4.01,Crop Cover,437,Sandy,Low,34,266,13,Yes,2994,5625,305,Winter,24,1354,3.081512555963804,4.210571508665918,No,19.80126934844478,Yes,Yes,Yes,Yes,84,16,Low
Plums,826,Flood,Arid,5.08,Mulching,231,Loamy,Low,125,251,48,No,2123,10992,260,Autumn,25,1514,6.402732062557003,0.6454739396025623,Yes,4.388249855593618,No,Yes,Yes,No,86,45,Medium
Apples,2104,Sprinkler,Mediterranean,5.83,Mulching,723,Loamy,Severe,187,248,25,No,371,5603,342,Winter,24,1854,1.5803044997887574,2.3941485864149836,Yes,17.18459903479924,No,No,Yes,Yes,58,80,Medium
Avocados,13086,Sprinkler,Mediterranean,8.02,Crop Cover,342,Loamy,Low,134,197,26,Yes,2856,3521,134,Spring,40,960,9.485942955069472,2.8946857394024046,No,2.2882463252472043,No,Yes,No,No,53,15,Medium
Potatoes,18391,Drip,Tropical,8.85,Mulching,976,Silty,Severe,198,141,80,No,4671,9467,127,Winter,12,1922,4.594422400208723,0.6795242599981638,No,7.4368464915550945,No,Yes,Yes,Yes,65,91,Medium
Garlic,14858,Flood,Continental,8.05,Efficient Irrigation,296,Silty,Moderate,11,73,76,Yes,4863,8213,165,Autumn,28,971,5.825637670807868,1.5598457651149094,Yes,18.02443463873054,No,No,No,No,88,79,Low
Potatoes,11853,Sprinkler,Semi-arid,8.06,Crop Cover,679,Clayey,Low,62,148,15,Yes,1336,2886,230,Spring,34,975,3.7139072915382565,4.819778098330213,No,4.412026809127932,Yes,Yes,Yes,Yes,85,25,Low
Quinoa,14280,Sprinkler,Continental,7.84,Mulching,562,Clayey,Severe,113,180,33,No,2451,9298,193,Winter,27,1462,2.8390242775154864,4.111011693631098,Yes,17.69050816129268,No,No,Yes,Yes,53,13,High
Zucchini,7109,Flood,Tropical,2.38,Mulching,708,Clayey,Moderate,147,172,72,Yes,1270,6532,161,Autumn,21,1739,7.191144098745105,0.8203713266682544,Yes,18.065956979557438,Yes,No,Yes,No,91,13,High
Beans,7461,Flood,Tropical,1.82,Efficient Irrigation,822,Loamy,Severe,123,146,76,No,2453,9808,257,Winter,23,841,7.959354079377202,3.6140897459409165,No,8.731170799270188,No,Yes,Yes,No,52,73,Low
Tomatoes,12573,Flood,Mediterranean,7.95,Mulching,724,Loamy,Severe,105,72,32,No,2108,7121,315,Spring,33,431,3.88123105261322,3.9876214856666126,Yes,16.524061506398127,No,No,Yes,No,77,39,Medium
Pumpkins,2202,Sprinkler,Semi-arid,5.67,Crop Cover,283,Loamy,Moderate,19,216,39,Yes,2557,3874,242,Spring,34,1487,2.687850749995298,0.4448222887139006,No,12.614529664473359,Yes,Yes,No,Yes,73,99,Low
Apples,4393,Sprinkler,Temperate,9.01,Crop Cover,291,Clayey,Low,155,159,51,No,3917,10407,324,Summer,34,1547,8.540165316639628,2.2125055139832672,No,16.849439098871485,Yes,Yes,No,Yes,57,50,High
Cherries,13384,None,Arid,9.39,Efficient Irrigation,139,Loamy,High,109,229,27,Yes,1814,14272,83,Winter,17,1060,8.746776380137288,1.5885100090167885,No,7.859051103406268,No,No,No,No,51,54,Medium
Peas,14798,Flood,Continental,4.31,Crop Cover,111,Clayey,Severe,136,141,85,No,3868,13527,276,Autumn,37,698,1.7958517313407047,3.8359642776846514,No,17.84537057100907,No,Yes,No,No,89,22,High
Soybeans,15810,Sprinkler,Temperate,2.08,Mulching,442,Clayey,Low,15,57,42,Yes,3341,5112,92,Spring,22,1751,1.5218748841918366,3.166584324233249,Yes,19.337677647870546,No,Yes,Yes,No,77,67,Medium
Barley,17130,Drip,Mediterranean,6.19,Mulching,857,Clayey,Low,88,237,16,Yes,4774,7411,114,Spring,18,1580,7.453837602699952,0.2336066390827005,Yes,11.175164882562788,No,No,Yes,Yes,73,28,Medium
Blueberries,9121,None,Continental,6.59,Mulching,774,Loamy,Low,32,289,97,No,2723,2191,274,Winter,15,971,1.7278282224763977,3.1818782661382996,Yes,6.9307196349247056,Yes,No,Yes,No,95,66,Low
Cotton,11583,Flood,Arid,3.37,Efficient Irrigation,249,Loamy,High,51,206,33,No,3331,3120,186,Spring,19,260,4.394908346481049,1.5839228883915712,No,7.135147292603399,Yes,No,No,No,71,60,Medium
